"February 19, 2008","Musharraf allies face voters’ wrath: •PPP, PML-N on a roll •19 killed in poll-related violence"
"February 19, 2008","Musharraf allies face voters’ wrath: •PPP, PML-N on a roll •19 killed in poll-related violence"
"February 19, 2008",PM congratulates nation
"February 19, 2008","300 Kashmiris killed in custody, says report"
"February 19, 2008",Intelligence warns of terror strike in Delhi
"February 19, 2008",ANP regains its stronghold
"February 19, 2008",Women stopped from voting in several parts of NWFP
"February 20, 2008",KSE welcomes poll results with 443-point gain
"February 20, 2008",Subsidy fails to boost textile exports
"February 20, 2008",Port Qasim
"February 20, 2008",Company news
"February 20, 2008",Appointed
"February 20, 2008","Platinum hits record at $2,160"
"February 20, 2008","Dollar falls against euro, yen"
"February 20, 2008",Thomson to close Reuters’ deal in April
"February 20, 2008",Castro steps down after 49 years in power
"February 20, 2008",Documents relating to JFK killing revealed
"February 20, 2008",Israeli lawyer jailed
"February 20, 2008",CHARSADDA: Renaming of NWFP major challenge for ANP
"February 20, 2008",KARACHI: ATC acquits man in child’s kidnap case
"February 20, 2008",KARACHI: Home Economics practical exams
"February 20, 2008",KARACHI: Weather
"February 20, 2008",MIRPURKHAS: Civil hospital facing shortage of doctors
"February 20, 2008",HYDERABAD: Voters have rejected Musharraf: JI
"February 20, 2008",PESHAWAR: Swat residents pin hopes on ANP for peace
"February 20, 2008",KARACHI: 18 vehicles taken away on polling day
"February 20, 2008","KOHAT: Militant killed, two arrested"
"February 20, 2008",TIMERGARA: Two injured in gas cylinder blast
"February 20, 2008",KARACHI: PPP cries foul over NA-253 ‘rigging’
"February 20, 2008",LARKANA: Euphoric PPP workers march to Garhi
"February 20, 2008",Lunar eclipse tomorrow
"February 20, 2008","IHC starts with over 9,000 backlog cases"
"February 20, 2008",Rumblings of revolt heard in Zahoor Palace
"February 20, 2008",Public-shy women win Toba bout
"February 20, 2008",Surrenders
"February 20, 2008",People’s Verdict is clear: HRCP
"February 20, 2008",Results of two seats in D.G. Khan withheld
"February 20, 2008",Australia agree to shorten Pakistan tour: Security team to arrive next month
"February 20, 2008",Reyan The Great eyes third straight win
"February 20, 2008",Eyebrows raised as undisciplined duo recalled
"February 20, 2008",Asif named KCCA Zone-III vice-chairman
"February 20, 2008",Tipsarevic knocks out champion
"February 20, 2008","Sangwan helps India crush SA, Pakistan down New Zealand"
"February 20, 2008",Jayasuriya axed for WI tour
"February 20, 2008",13 NA general seats won by women
"February 20, 2008",FO protests over Danish cartoon
"February 20, 2008",UN chief welcomes poll outcome
"February 20, 2008",‘Musharraf to work smoothly with new govt’
"February 20, 2008",US says it will continue to work with Musharraf
"February 20, 2008",Balochistan: saving grace for PML-Q
"February 21, 2008",Oil prices rocket to record $100.40
"February 21, 2008",Karachi Port operations
"February 21, 2008",FPCCI team to visit Vietnam
"February 21, 2008",Platinum falls
"February 21, 2008",Malaysian palm oil up
"February 21, 2008",Unisame asked to lodge formal complaint: Rice cartels
"February 21, 2008",Computerised vehicle registration books soon
"February 21, 2008",Five killed in Kenya clashes
"February 21, 2008",May deadline for India N-deal: US
"February 21, 2008",Kosovo may set a bad precedent: Lankan govt
"February 21, 2008",A snapshot of poverty
"February 21, 2008",Media freedom diminishing in Sri Lanka
"February 21, 2008",Iran says N-drive has brought major powers ‘to their knees’
"February 21, 2008",Tsunami alert in Thailand
"February 21, 2008",KARACHI: Rules for LLB students
"February 21, 2008",KARACHI: Couple murder case adjourned till 27th
"February 21, 2008",KARACHI: Trader killed
"February 21, 2008",HYDERABAD: Shah Latif’s Urs begins tomorrow
"February 21, 2008",HYDERABAD: Flower show planned
"February 21, 2008",PESHAWAR: Issuance of new driving licences to start soon
"February 21, 2008",PESHAWAR: ANP yet to name its CM
"February 21, 2008",KARACHI: MQM leader hits out at PPP
"February 21, 2008",KARACHI: Lawyers urge poll winners to restore judges
"February 21, 2008","Mild quake hits Islamabad, Peshawar"
"February 21, 2008",Candidates accuse rivals of massive rigging
"February 21, 2008",Protest over torching of Benazir’s poster
"February 21, 2008","Independents clinch ballot ground in three districts: Afgan, Rokri get a drubbing"
"February 21, 2008",Recounting: PML-N rally against plea rejection
"February 21, 2008",PP-222: losers stand tall against Dhakoo
"February 21, 2008",Lawyers ask Musharraf to step down: Tribute paid to Aitzaz
"February 21, 2008",Two policemen held for framing man in fake case
"February 21, 2008",NA seat winners
"February 21, 2008",Sukkur bar wants Musharraf to step down
"February 21, 2008",Jubilation firing leaves child dead
"February 21, 2008",Fresh voting ordered in 10 polling stations
"February 21, 2008",Go! Nawaz tells Musharraf once again
"February 21, 2008",DCOs asked to continue performing duties
"February 21, 2008",Four tribesmen injured in mortar attack
"February 21, 2008",China congratulates Pakistan for smooth polls
"February 21, 2008",PHF snubbed yet again by Waseem
"February 21, 2008",Irfan to lead Karachi squad
"February 21, 2008",Noman to coach football goalies
"February 21, 2008","Dhoni, Symonds fetch record prices; Yousuf withdrawn: Indian Premier League bidding"
"February 21, 2008",U-16 final today
"February 21, 2008",Symonds set to skip Pakistan tour
"February 21, 2008",Yorkshire warns Rana Naved
"February 21, 2008",EU monitors point out poll irregularities
"February 21, 2008",India ready to resume talks
"February 21, 2008",France to support new govt
"February 21, 2008",PML-N sets terms for backing new govt move
"February 21, 2008",Pakistan presses Swiss case against Asif
"February 21, 2008","Poll results prepared before Feb 18, alleges Fazl"
"February 22, 2008",Dollar under pressure
"February 22, 2008",Karachi Port operations
"February 22, 2008",Clarification
"February 22, 2008",EU cuts eurozone growth
"February 22, 2008","Stocks briefly hit 15,000-level"
"February 22, 2008",No election impact on property prices
"February 22, 2008","Swiss, Munich Re accept claims: Pakistan Reinsurance"
"February 22, 2008",East Timor president regains consciousness
"February 22, 2008",EU urges Israel to end Gaza blockade
"February 22, 2008",Microsoft increases ‘openness’ of its software
"February 22, 2008",Kabul claims killing 32 Taliban
"February 22, 2008",Cubans hope for a better life after change at the top
"February 22, 2008",Scientists probe theory of ‘a world with only 5 computers’
"February 22, 2008",Obama bags 11th victory
"February 22, 2008",Jordanian jailed for founding terror group
"February 22, 2008",KARACHI: Police thrash protesting lawyers
"February 22, 2008",KARACHI: Call to revamp Lyari sewerage system
"February 22, 2008",KARACHI: SHC orders speedy trial of armed robbery case
"February 22, 2008",KARACHI: Stamps show to feature at All About Lifestyles
"February 22, 2008",HYDERABAD: NGOs allege rigging
"February 22, 2008","NAWABSHAH: PML leaders, workers booked in robbery case"
"February 22, 2008",-DAWN - Local; Febru
"February 22, 2008",HARIPUR: MPA-elect arraigned in murder case
"February 22, 2008",TIMERGARA: JUI-F ready to form govt with PPP: Naseeb
"February 22, 2008",Lawyers’ reminder to govt in-waiting: Impressive post-poll show
"February 22, 2008",Two teenagers kidnapped
"February 22, 2008",UN body pledges $2.4m for population programme
"February 22, 2008",Sasoli calls for commission on Balochistan
"February 22, 2008",EC urged to look into shifting of polling station
"February 22, 2008",PPP activists protest after firing incident
"February 22, 2008",Police kill three fleeing after bank dacoity
"February 22, 2008",PPP seeks probe into rigging
"February 22, 2008",Official looks into charges against BMP
"February 22, 2008",‘Real challenges lie ahead’
"February 22, 2008",ANP won’t press for restoration of judiciary
"February 22, 2008",Man held for killing wife
"February 22, 2008",Lawyers determined to go ahead with March 9 plan
"February 22, 2008",‘Players must tour Pakistan if security concerns overcome’: Boycott to put players into contract breach: CA
"February 22, 2008","Nadal reaches second round, Murray and Hewitt fall"
"February 22, 2008",China “regrets” US decision on food supplies
"February 22, 2008",Pakistan must beat China in five-match series: Zaka
"February 22, 2008",Comaneci fan suing Romania president
"February 22, 2008",Pakistan likely to play mini ODI series before Aussie tour
"February 22, 2008",United snatch late draw as Barcelona sink Celtic
"February 22, 2008",Lightning Boult strikes as Kiwis enter last eight
"February 22, 2008",Action urged against mills selling poor quality flour
"February 22, 2008",Foetus retrieved from baby’s abdomen
"February 22, 2008",High-speed trains to link holy cities with Jeddah
"February 22, 2008",KSE index keeps surging in post-election euphoria
"February 22, 2008",PML-N rules out change in stance on judiciary
"February 22, 2008",Budget-making exercise begins
"February 23, 2008",Stock market ends week with 8.69-point gain
"February 23, 2008",Karachi Port operations
"February 23, 2008",Poultry rates
"February 23, 2008",Tax on Finished pesticides waived
"February 23, 2008",Platinum hits historic high
"February 23, 2008",Indus Motors declares 40pc interim dividend
"February 23, 2008","Oil rises near $99 on Iraq, US weather"
"February 23, 2008",‘Girl’ at Japan school was 39-year-old man
"February 23, 2008",Yemen in danger of descending into chaos
"February 23, 2008",Hormone governs caterpillar’s disguise
"February 23, 2008",US embassy dependents asked to leave Belgrade
"February 23, 2008",India sets wages for housemaids abroad
"February 23, 2008",KARACHI: PPP ponders choice for top post in Sindh
"February 23, 2008",KARACHI: Exhibition
"February 23, 2008",KARACHI: No cases withdrawn under NRO
"February 23, 2008",KARACHI: PN man dies in accident
"February 23, 2008",HYDERABAD: Paintings on poverty displayed
"February 23, 2008",HYDERABAD: PPP asked not to include MQM in coalition
"February 23, 2008",MANSEHRA: Coalition govt will be people-friendly: Nawaz
"February 23, 2008",KOHAT: Rival groups exchange rocket fire
"February 23, 2008",NOWSHERA: Teenage girl ‘commits suicide’; man killed
"February 23, 2008",KARACHI: Fire dept’s ineptitude helped fan Site blaze
"February 23, 2008",KARACHI: ‘Massive load-shedding likely’
"February 23, 2008",PPP victory puts dist nazims in trouble
"February 23, 2008",Political ‘heist’ in MMA vote bank
"February 23, 2008",Fakhr Imam seeks re-poll in NA-156
"February 23, 2008",CIA staffer ‘abducts’ traffic constable
"February 23, 2008",President lauds cellphone firm’s investment plan
"February 23, 2008",Construction of road ready to be undertaken
"February 23, 2008",Man loses life over poll defeat
"February 23, 2008",SC for removing industries from populated areas: Environmental pollution
"February 23, 2008",Imran says APDM to join lawyers’ march
"February 23, 2008",PML-Q loses NA-20 seat to PML-N on recount
"February 23, 2008",England face NZ in crunch ODI today
"February 23, 2008",KU basketball squad named
"February 23, 2008",-DAWN - Sport; Febru
"February 23, 2008","Salman, Misbah hold Punjab innings together on first day"
"February 23, 2008",Younis not too concerned over low IPL bid
"February 23, 2008","Pressure on Asif, Nawaz to work with president"
"February 23, 2008",Indian court not to hasten Kashmiri’s hanging
"February 23, 2008","Move to separate coal mining, power generation in Thar"
"February 23, 2008",Sadr extends ceasefire
"February 23, 2008",Joint search for oil in Kashmir
"February 23, 2008",EU calls for early govt formation
"February 24, 2008",National govt termed vital for real economy
"February 24, 2008",Conversion rates
"February 24, 2008",Cotton prices further go up
"February 24, 2008",Clarification
"February 24, 2008","Oil, gold, platinum strike record highs"
"February 24, 2008",Dollar dips on economic woes
"February 24, 2008",Three trains to run daily: Cement export to India
"February 24, 2008",Investment under CFS up by 3.16pc
"February 24, 2008",Indian troops kill six rebels near Myanmar border
"February 24, 2008",Hillary dismisses suggestions her campaign is nearing end
"February 24, 2008",S. Arabia to boycott Arab summit: TV
"February 24, 2008",Japan launches high-speed internet satellite
"February 24, 2008",Taiwan defence minister resigns
"February 24, 2008",PESHAWAR: Reshuffle in bureaucracy
"February 24, 2008",Uplift projects win votes for PML-Q in Chitral
"February 24, 2008",SWABI: Clerk booked for alleged rigging
"February 24, 2008",KARACHI: WSF moot called off as delegates denied visas
"February 24, 2008",KARACHI: Lawyers’ caravan leaves for Hyderabad
"February 24, 2008",KARACHI: Murder suspects remanded
"February 24, 2008",Another re-poll plea by PML-N
"February 24, 2008","New govt to decide vital issues, says Soomro"
"February 24, 2008",Multan nazim in a jam
"February 24, 2008",Margalla opens to walkers again
"February 24, 2008",Three killed in road accident
"February 24, 2008",Rival tribes raid villages
"February 24, 2008",‘Sugharan Ji Katchehry’
"February 24, 2008",PPP reminds Shirazis of pre-poll pledge
"February 24, 2008",Action against varsity teachers condemned
"February 24, 2008",PML-Q workers booked over rigging charges
"February 24, 2008",Layyah ‘elite’ get plots at throwaway prices
"February 24, 2008",Chelsea bid to retain League Cup in final today
"February 24, 2008",Adam shrugs off injury to lift Team Pakistan
"February 24, 2008",IPL not distracting Symonds: Hopes
"February 24, 2008",Bangladesh seize control in Dhaka Test
"February 24, 2008",ds
"February 24, 2008","Usman, Naveed put FA on top"
"February 24, 2008",Olympic gymnast dies in accident
"February 24, 2008",Avian virus confirmed in Malir
"February 24, 2008",Nine Afghans die in attacks
"February 24, 2008",Turkish troops kill 35 Kurds
"February 24, 2008","No deal with PML-Q in Punjab, NWFP: PPP"
"February 24, 2008","Aitzaz puts PML-N, PPP on notice"
"February 24, 2008",Indian general sees talks with new govt
"February 25, 2008",Subsidised CNG for transport sector
"February 25, 2008",Productivity and competitiveness
"February 25, 2008",Taxing farm incomes
"February 25, 2008",Market at new high on hopes of smooth transfer of power
"February 25, 2008",Scheduled banks’ assets lower by Rs5.9bn
"February 25, 2008",Controversy over tobacco support price
"February 25, 2008",Value-addition in fruit processing
"February 25, 2008",Communist leader is new Cyprus president: Pledge to unify island
"February 25, 2008",White House race packs surprises: analysts
"February 25, 2008",Stars gather for Oscars gala
"February 25, 2008",Israel on alert ahead of Gaza protest
"February 25, 2008",Standoff over new sanctions on Iran
"February 25, 2008",KARACHI: Vegetables beyond the reach of common man
"February 25, 2008",KARACHI: ‘Bird flu virus to die off by summer’
"February 25, 2008",KARACHI: Release of BNP leader sought
"February 25, 2008",KARACHI: Trader shot dead
"February 25, 2008",JACOBABAD: Call to shift power from GHQ to parliament
"February 25, 2008",MIRPURKHAS: Political intervention in local bodies opposed
"February 25, 2008","PESHAWAR: PPP, ANP agree on sharing power: Frontier govt"
"February 25, 2008",KARACHI: 10 poll day suspects’ remand extended
"February 25, 2008",PESHAWAR: Experts fear extinction of 30 regional languages
"February 25, 2008","KOHAT: One killed, four injured in blast"
"February 25, 2008",PESHAWAR: Watchman killed; woman arrested in theft case
"February 25, 2008",DADU: SHO arrested
"February 25, 2008",LARKANA: Jirga settles bloody dispute
"February 25, 2008",MIRPURKHAS: SHO accused of taking bribe
"February 25, 2008",NAWABSHAH: Rotation programme for Rohri Canal
"February 25, 2008",SHIKARPUR: Election Commission summons candidates on rigging complaint
"February 25, 2008","KARACHI: Incompetence, corruption haunt Sabzi Mandi"
"February 25, 2008",Fahim gets VIP-level security
"February 25, 2008",Local giants succumb to voters’ wrath
"February 25, 2008",Murder case: MNA-elect summoned on 27th
"February 25, 2008",Musharraf deserves graceful exit: Biden
"February 25, 2008",Two hurt in bus robbery
"February 25, 2008",Victors urged to reign in trade deficit
"February 25, 2008",Chemists Postpone strike
"February 25, 2008","Watchman shoots wife, injures three others"
"February 25, 2008",PML-Q claims right to form govt in Balochistan: BNA wants CM from Makran
"February 25, 2008",Imran warns parties against ‘cheating’ electorate
"February 25, 2008",Ponting returns to form with classy century as India fall short
"February 25, 2008",Younis hits up another century
"February 25, 2008",Freak accidents hamper Team Pakistan at Durban
"February 25, 2008",Aston Villa maintain push for Europe
"February 25, 2008","Hallow Handsome, most impressive winner in LRC races"
"February 25, 2008",SA women thrash Pakistan
"February 25, 2008",Kallis wrecks Bangladesh’s hopes with five-wkt haul
"February 25, 2008",Attacker shot dead
"February 25, 2008",Raul takes over as Cuba’s president
"February 25, 2008",5 picnickers drown in Bolan
"February 25, 2008",PPP legislators against coalition with Muttahida
"February 25, 2008",Musharraf planning exit: UK paper
"February 25, 2008",US may stop direct budgetary support: Procedure for economic aid changed
"February 26, 2008",KSE 100-index loses 33 points on political rumours
"February 26, 2008",Visa to raise $18.8bn
"February 26, 2008",Karachi Port operations
"February 26, 2008",Asian stocks close mostly higher
"February 26, 2008",Palm oil hits new high
"February 26, 2008",Lucky Cement to offer $150m GDR this year
"February 26, 2008",‘LPG demand outpaces production’
"February 26, 2008",41 more Kurd rebels killed: Turkey
"February 26, 2008",Tribute paid to Afghan taxi driver
"February 26, 2008",Medvedev: Putin’s puppet or successor at Kremlin?
"February 26, 2008",Yemen’s tourist sector hit by Al Qaeda attacks
"February 26, 2008",Raul team no ticket to deep change in Cuba: analysts
"February 26, 2008","‘No Country for Old Men’, Europeans dominate Oscars"
"February 26, 2008",Palestinians form ‘human chain’ againt blockade
"February 26, 2008",Five facts about best picture
"February 26, 2008",KARACHI: Provision of gas to villages ordered
"February 26, 2008",KARACHI: SHC restores teacher’s bungalow allotment
"February 26, 2008",HYDERABAD: Shah Latif Centre to undertake research
"February 26, 2008",KARACHI: Waziristan refugees face uncertain future in city
"February 26, 2008",KHAIRPUR: Protest over water shortage
"February 26, 2008",PESHAWAR: Six die in separate road accidents
"February 26, 2008",NOWSHERA: Tension in Cherat after kidnappings
"February 26, 2008",MARDAN: Lawyers to observe ‘Youm-i-Nijat’
"February 26, 2008",KARACHI: PPP wants re-election in Thar
"February 26, 2008","KARACHI: 300,000 to take SSC exams from April 15"
"February 26, 2008",Incoming govt told to restore deposed judges
"February 26, 2008",Resolution of election disputes demanded
"February 26, 2008",JUI-F names assembly leader
"February 26, 2008",Road accident claims 5 lives
"February 26, 2008",Massive rigging in Thar alleged
"February 26, 2008",Defector accuses Tharparkar nazim of violating rules
"February 26, 2008",Two die in landmine explosion
"February 26, 2008",Rape accused remanded
"February 26, 2008",Embezzlement in drugs purchase
"February 26, 2008","Yesterday a ‘Q’ man, today an ‘N’ fan"
"February 26, 2008",Job scam
"February 26, 2008",50 scholars leave for higher studies in S. Korea
"February 26, 2008","Farmers want wheat price at Rs1,250"
"February 26, 2008",Strong judiciary must for strong parliament: Aitzaz dispels confrontation concern
"February 26, 2008",Pakistan demolish Australia to reach semi-finals: U-19 World Cup
"February 26, 2008",Proteas fined
"February 26, 2008","Desert Prince, Fantastic Baby axed from Pakistan Derby"
"February 26, 2008",Llodra beats Soderling to lift Rotterdam title
"February 26, 2008",Jankovic to compete in Bangalore Open
"February 26, 2008",Ex-PSB DG dies
"February 26, 2008",26
"February 26, 2008",Warne backs spinners for Pakistan tour
"February 26, 2008",Shah pushes Test claims with near century
"February 26, 2008",Senate body assails Gwadar Port delay
"February 26, 2008",IPI accord to be signed in March
"February 26, 2008",Security stepped up at embassy
"February 26, 2008",Protest against Heathrow expansion
"February 26, 2008",Explosions leave three security men dead
"February 26, 2008",Legal experts advice sought to resolve judges issue
"February 26, 2008",Flour price shoots up again in NWFP
"February 27, 2008",Expo Pakistan
"February 27, 2008",US has no plans to stop adding emergency oil
"February 27, 2008",Liechtenstein tax probe widens
"February 27, 2008","Removal of duty, premium can cut diesel prices"
"February 27, 2008",Palm oil prices lower
"February 27, 2008",Low turnout on utility stores under bachat scheme
"February 27, 2008",Farmers reject wheat price
"February 27, 2008","Acquisitions, mergers picking up momentum"
"February 27, 2008",Depression drugs little better than placebos: study
"February 27, 2008",UK told to release details of pre-Iraq war discussions
"February 27, 2008",Turkish incursion may trigger regional turmoil
"February 27, 2008",Pakistan’s democratic yearnings should show in US policies: Hillary
"February 27, 2008",-DAWN - International; Febru
"February 27, 2008",Olmert casts doubts on deal with Palestinians
"February 27, 2008",Europe pays heavy price for heart disease: study
"February 27, 2008",PESHAWAR: Caretakers Approve pension for all employees
"February 27, 2008",KARACHI: BIEK science fair set to begin on 29th
"February 27, 2008",KARACHI: PPP activists among six injured
"February 27, 2008",KARACHI: IO testifies in Mufti Ateeq’s killing case
"February 27, 2008",KARACHI: Ordinance
"February 27, 2008",SUKKUR: PML-F workers granted bail
"February 27, 2008","HYDERABAD: Fire destroys 20,000 trees"
"February 27, 2008",KARACHI: Policeman Summoned in missing person case
"February 27, 2008",PESHAWAR: Security plan for Imam Hussain’s chehlum unveiled
"February 27, 2008",KHAIRPUR: Protesters seek kidnap victims’ release
"February 27, 2008",KARACHI: Power crisis will put new govt to the test
"February 27, 2008",LANDI KOTAL: Crackdown halted after tribesmen’s assurance: Missing envoy
"February 27, 2008",Four LJ men arrested
"February 27, 2008",Man killed on road
"February 27, 2008",Magsi seeks post of CM for third time
